Year,Month,Day,Hour,Minute,EMASignal,isPivot,CHOCH_pattern_detected,fibonacci_signal,SL,TP,MinSwing,MaxSwing,LBD_detected,LBH_detected,SR_signal,isBreakOut,candlestick_signal,result,signal1,buy_signal,Position,sell_signal,fractal_high,fractal_low,buy_signal1,sell_signal1,fractals_high,fractals_low,VSignal,PriceSignal,TotSignal,SLSignal,grid_signal,ordersignal,SLSignal_heiken,EMASignal1,long_signal,martiangle_signal,Candle_direction
2022,6,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0,1,0,0,0,1,0,0,0.0,0,0,0.0,0,0,2,0
2022,6,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,1,1,0,0,1,1,0,0,0.0,0,0,0.0,0,0,1,0
2022,6,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0,1,0,0,0,1,0,0,0.0,0,0,0.0,0,0,1,1
2022,6,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0,1,0,1,0,0,0,0,0.0,0,0,0.0,0,0,1,1
2022,6,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0,1,0,0,0,1,0,0,0.0,0,0,0.0,0,0,1,0
2022,6,14,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,1,1,0,0,1,1,0,0,0.0,0,0,0.0,0,0,2,0
2022,6,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0,2,1
2022,6,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0,1,0,0,0,1,0,0,0.0,0,0,0.0,0,0,1,1
2022,6,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0,1,0,1,0,1,0,0,0.0,0,0,0.0,0,0,2,0
2022,6,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0,1,0,0,0,1,0,0,0.0,0,0,0.0,0,0,1,0
2022,6,14,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,1,1,0,0,1,0,0,0,0.0,0,0,0.0,0,0,1,0
2022,6,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1,0,1,0,1,0,1,0,0,0.0,0,0,0.0,0,0,2,1
2022,6,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,1,0,0,0.0,0,0,0.0,0,0,1,0
2022,6,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1.0,0,0,0,1,0,0,0,1,0,0,0.0,0,0,0.0,0,0,2,1
2022,6,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,1,0,0,0.0,0,0,0.0,0,0,1,1
2022,6,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1,1,0,0,1,1,0,0,0.0,0,0,0.0,0,0,2,1
2022,6,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,1,0,0,0.0,0,0,0.0,0,0,2,0
2022,6,15,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1,0,1,0,1,0,0,0,0,0.0,0,0,0.0,0,0,1,1
2022,6,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0,1,0
2022,6,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0,1,0,0,0,1,0,0,0.0,0,1,79.81999969482422,0,0,2,0
2022,6,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0,1,0,0,0,1,0,0,0.0,0,0,0.0,0,0,1,0
2022,6,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0,1,0,0,0,1,0,0,0.0,0,0,0.0,0,0,1,0
2022,6,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0,2,0
2022,6,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1.0,1,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0,1,1
2022,6,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,1,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0,2,0
2022,6,16,16,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1,0,1,1,0,0,1,1,0,0,0.0,0,0,0.0,0,0,2,0
2022,6,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0,1,0,0,0,1,0,0,0.0,0,0,0.0,0,0,1,1
2022,6,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0,1,0,1,0,1,0,0,0.0,0,0,0.0,0,0,2,1
2022,6,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0,1,0,0,0,1,0,0,0.0,0,0,0.0,0,0,1,1
2022,6,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0,1,0,0,0,1,0,0,0.0,0,0,0.0,0,0,1,1
2022,6,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0,1,0,0,0,1,0,0,0.0,0,0,0.0,0,0,2,1
2022,6,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0,1,0,1,0,1,0,0,0.0,0,0,0.0,0,0,2,0
2022,6,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0,1,0,0,0,1,0,0,0.0,0,0,0.0,0,0,2,1
2022,6,17,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,1,0,1,1,0,0,1,1,0,0,0.0,0,0,0.0,0,0,1,0
2022,6,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0,1,1
2022,6,20,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1,0,1,0,1,0,0,0,0,0.0,0,0,0.0,0,0,1,1
2022,6,20,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0,1,0
2022,6,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0,1,0
